[LogTimer] _speedRateByMouseEvents = 0.000000, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.000000, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.000000, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.000000, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.000000, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.000000, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.000000, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.000000, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.000000, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.000000, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.000000, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.000000, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.000000, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.000000, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.000000, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.000000, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
